Date,Loss Amount
31-07-2017,1083.7
28-07-2017,1083.95
27-07-2017,1085.8
26-07-2017,1096.45
25-07-2017,1084.4
24-07-2017,1085.7
21-07-2017,1084.05
20-07-2017,1089.2
19-07-2017,1098.55
18-07-2017,1085.6
17-07-2017,1102.05
14-07-2017,1120.7
13-07-2017,1111.9
12-07-2017,1100.95
11-07-2017,1097.05
10-07-2017,1085.1
07-07-2017,1066.9
06-07-2017,1060.55
05-07-2017,1063.6
04-07-2017,1066.5
03-07-2017,1072.95
30-06-2017,1073.55
29-06-2017,1098.7
28-06-2017,1074.05
27-06-2017,1048.3
23-06-2017,1065
22-06-2017,1091.05
21-06-2017,1104.15
20-06-2017,1101.35
19-06-2017,1110
16-06-2017,1075.4
15-06-2017,1083.15
14-06-2017,1094.3
13-06-2017,1098.4
12-06-2017,1110.4
09-06-2017,1118.7
08-06-2017,1092
07-06-2017,1101.45
06-06-2017,1104.35
05-06-2017,1131.55
02-06-2017,1107.15
01-06-2017,1090.1
31-05-2017,1093.4
30-05-2017,1064.95
29-05-2017,1067.65
26-05-2017,1054.25
25-05-2017,1042.65
24-05-2017,1055.75
23-05-2017,1055.05
22-05-2017,1067.05
19-05-2017,1073.3
18-05-2017,1080.6
17-05-2017,1071.4
16-05-2017,1058.95
15-05-2017,998
12-05-2017,981.8
11-05-2017,999.95
10-05-2017,997.1
09-05-2017,994.7
08-05-2017,1006.3
05-05-2017,995.1
04-05-2017,1001.15
03-05-2017,1002.75
02-05-2017,1004.25
28-04-2017,1004.45
27-04-2017,1007.8
26-04-2017,1009.55
25-04-2017,1005.2
24-04-2017,1009.75
21-04-2017,1010.4
20-04-2017,1010.9
19-04-2017,1000.3
18-04-2017,997.75
17-04-2017,1011.45
13-04-2017,1029.6
12-04-2017,1047.7
11-04-2017,1043.65
10-04-2017,1030.1
07-04-2017,991.95
06-04-2017,970.8
05-04-2017,979.4
03-04-2017,977.45
31-03-2017,977.65
30-03-2017,966.7
29-03-2017,951.35
28-03-2017,939.25
27-03-2017,935.75
24-03-2017,945.05
23-03-2017,937.6
22-03-2017,934.4
21-03-2017,938.8
20-03-2017,938.35
17-03-2017,943.9
16-03-2017,945.25
15-03-2017,945.35
14-03-2017,944.95
10-03-2017,936.6
09-03-2017,944.95
08-03-2017,923.85
07-03-2017,938.7
06-03-2017,947.2
03-03-2017,890.7
02-03-2017,917.2
01-03-2017,934.1
28-02-2017,946.95
27-02-2017,954.1
23-02-2017,965.9
22-02-2017,974.25
21-02-2017,984.25
20-02-2017,971.15
17-02-2017,967.2
16-02-2017,963.9
15-02-2017,981.7
14-02-2017,1004
13-02-2017,1001.8
10-02-2017,1005
09-02-2017,1010.05
08-02-2017,1022.6
07-02-2017,1006.8
06-02-2017,1029.2
03-02-2017,1069.2
